2024-10-04 13:09:31,921 INFO    StreamThr :3814 [internal.py:wandb_internal():86] W&B internal server running at pid: 3814, started at: 2024-10-04 13:09:31.921235
2024-10-04 13:09:31,923 DEBUG   HandlerThread:3814 [handler.py:handle_request():146] handle_request: status
2024-10-04 13:09:31,926 INFO    WriterThread:3814 [datastore.py:open_for_write():85] open: /root/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20241004_130931-3g5w2ybj/run-3g5w2ybj.wandb
2024-10-04 13:09:31,927 DEBUG   SenderThread:3814 [sender.py:send():380] send: header
2024-10-04 13:09:31,927 DEBUG   SenderThread:3814 [sender.py:send():380] send: run
2024-10-04 13:09:32,350 INFO    SenderThread:3814 [dir_watcher.py:__init__():211] watching files in: /root/Project-Build-an-ML-Pipeline-Starter/src/train_random_forest/wandb/run-20241004_130931-3g5w2ybj/files
2024-10-04 13:09:32,350 INFO    SenderThread:3814 [sender.py:_start_run_threads():1124] run started: 3g5w2ybj with start time 1728083371.920638
2024-10-04 13:09:32,355 DEBUG   HandlerThread:3814 [handler.py:handle_request():146] handle_request: check_version
2024-10-04 13:09:32,356 DEBUG   SenderThread:3814 [sender.py:send_request():407] send_request: check_version
2024-10-04 13:09:32,693 DEBUG   HandlerThread:3814 [handler.py:handle_request():146] handle_request: run_start
2024-10-04 13:09:32,706 DEBUG   HandlerThread:3814 [system_info.py:__init__():32] System info init
2024-10-04 13:09:32,706 DEBUG   HandlerThread:3814 [system_info.py:__init__():47] System info init done
2024-10-04 13:09:32,706 INFO    HandlerThread:3814 [system_monitor.py:start():194] Starting system monitor
2024-10-04 13:09:32,706 INFO    SystemMonitor:3814 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-10-04 13:09:32,706 INFO    HandlerThread:3814 [system_monitor.py:probe():214] Collecting system info
2024-10-04 13:09:32,708 INFO    SystemMonitor:3814 [interfaces.py:start():190] Started cpu monitoring
2024-10-04 13:09:32,710 INFO    SystemMonitor:3814 [interfaces.py:start():190] Started disk monitoring
2024-10-04 13:09:32,711 INFO    SystemMonitor:3814 [interfaces.py:start():190] Started gpu monitoring
2024-10-04 13:09:32,711 INFO    SystemMonitor:3814 [interfaces.py:start():190] Started memory monitoring
2024-10-04 13:09:32,712 INFO    SystemMonitor:3814 [interfaces.py:start():190] Started network monitoring
2024-10-04 13:09:32,726 DEBUG   HandlerThread:3814 [system_info.py:probe():196] Probing system
2024-10-04 13:09:32,740 DEBUG   HandlerThread:3814 [system_info.py:_probe_git():181] Probing git
2024-10-04 13:09:32,743 DEBUG   HandlerThread:3814 [system_info.py:_probe_git():189] Probing git done
2024-10-04 13:09:32,743 DEBUG   HandlerThread:3814 [system_info.py:probe():244] Probing system done
